uid,name,role,seat_starts,seat_expires
1,Dries Buytaert,Founder,,
3735640,Tim Doyle,CEO,,
318824,Owen Lansbury,Chair,,2025
118406,Tiffany Farriss,Treasurer,,2026
2498760,Nikhil Deshpande,Secretary,,2025
3520867,Lynne Capozzi,,,2025
3452367,Fei Lauren,At-Large,,2025
690374,Piyush Poddar,,,2025
,Rosa Ordinana,,,2025
91402,Imre Gmelig Meijling,,,2026
145609,Alejandro Moreno,At-Large,,2026
66894,Stella Power,,,2026
,Sachiko Muto,,,2027
1390422,Baddý Sonja Breidert,,,
442016,Monica Nikki Flores,At-Large,2024,2025
3362326,Lenny Moskalyk,At-Large,2023,2024
122101,Pedro Cambra,At-Large,2022,2023
91402,Imre Gmelig Meijling,At-Large,2022,2023
118428,Mike Herchel,At-Large,2021,2023
122101,Pedro Cambra,At-Large,2020,2022
1746792,Leslie Glynn,At-Large,2019,2021
341265,Suzanne Dergacheva,At-Large,2018,2020
49344,Ryan Szrama,At-Large,2017,2019
85730,Shyamala Rajaram,At-Large,2016,2018
65088,Addison Berry,At-Large,2015,
114486,Matthew Saunders,At-Large,2014,2018
65676,Morten DK,At-Large,2014,2016
122101,Pedro Cambra,At-Large,2013,2015
65676,Morten DK,At-Large,2013,2015
41519,Steve Purkiss,At-Large,2012,
112345,Donna Benjamin,At-Large,2012,
122101,Pedro Cambra,Alumni,,
,Mike Woster,Alumni,,
41519,Steve Purkiss,Alumni,,
53667,Cary Gordon,Alumni,,
24967,Angie Byron,Alumni,,
781768,Danese Cooper,Alumni,,
1164724,Rob Gill,Alumni,,
65088,Addison Berry,Alumni,,
114486,Matthew Saunders,Alumni,,
65676,Morten Birch,Alumni,,
118406,Tiffany Farriss,Alumni,,
276718,Jeff Walpole,Alumni,,
75070,Vesa Palmu,Alumni,,
112345,Donna Benjamin,Alumni,,
53324,Sameer Verma,Alumni,,
85730,Shyamala Rajaram,Alumni,,
328800,Steve Francia,Alumni,,
58897,Jacob Redding,Alumni,,
1752376,Mike Lamb,Alumni,,
,Annie Miller,Alumni,,
3481747,Adam Goodman,Alumni,,
,Ingo Rübe,Alumni,,
214723,George Matthes,Alumni,,
341265,Suzanne Dergacheva,Alumni,,
2642969,Michel van Velde,Alumni,,
,Vishal Mehrotra,Alumni,,
,Luma Dahlbacka,Alumni,,
1746792,Leslie Glynn,Alumni,,
266486,Audra Martin-Merrick,Alumni,,
122101,Pedro Cambra,Alumni,,
91402,Imre Gmelig Meijling,Alumni,,
813718,Grace Francisco,Alumni,,
3629811,Lo Li,Alumni,,
148577,Rahul Dewan,Alumni,,
49344,Ryan Szrama,Alumni,,
118428,Mike Herchel,Alumni,,
3362326,Lenny Moskalyk,Alumni,,
122682,Nick Veenhof,Alumni,,
442016,Monica Nikki Flores,Alumni,,
