Week,5.x,6.x,7.x,8.x,8.0.x,8.1.x,8.2.x,8.3.x,8.4.x,8.5.x,8.6.x,8.7.x,8.8.x,8.9.x,9.0.x,9.1.x,9.2.x,9.3.x,9.4.x,9.5.x,10.0.x,10.1.x,10.2.x,10.3.x,10.4.x,10.5.x,10.6.x,11.x,11.0.x,11.1.x,11.2.x,Total
"June 22, 2025",174,8607,232361,1,1244,449,887,1341,869,3349,5265,5704,6787,31181,1301,2994,4822,10171,12270,54052,5991,11784,23663,43249,162617,31683,505,8013,3122,34442,13492,722390
"June 15, 2025",179,8094,234064,1,1190,447,874,1336,876,3338,5314,5740,6612,30270,1288,2985,4858,10142,12224,54474,5972,11609,23800,45203,175254,8600,501,7052,3130,41451,4767,711645
"June 8, 2025",174,8096,235454,1,993,456,869,1316,870,3313,5191,5608,6554,30078,1277,2935,4777,10085,12115,53459,5974,11287,23575,47513,181925,673,338,4836,3213,42805,1572,707332
"June 1, 2025",182,8392,237133,1,982,440,870,1374,867,3340,5280,5703,6569,29829,1325,2984,4795,10010,12245,52497,6059,11129,24139,49129,181440,516,359,5037,3288,40720,1622,708256
"May 25, 2025",180,8499,238776,1,1009,453,893,1319,877,3347,5116,5687,6661,29731,1316,2952,4806,10109,12117,51942,6031,11160,24040,51443,179969,495,258,5987,3231,37351,1336,707092
"May 18, 2025",179,8175,238828,1,970,437,890,1301,871,3403,5244,5735,6563,29590,1346,3042,4768,10205,12264,52248,6007,11179,24881,53481,171688,505,0,7507,3258,37372,1348,703286
"May 11, 2025",188,8497,240868,1,831,456,884,1260,875,3425,5353,5751,6558,30515,1334,2961,4827,10065,12363,54365,6071,11328,25811,54207,175782,193,0,8009,3280,37255,756,714069
"May 4, 2025",196,8875,240242,1,991,457,919,1334,917,3530,5431,5793,6763,30028,1350,2992,4792,10200,12230,54019,6164,11353,25968,55556,169530,256,0,9957,3598,35640,0,709082
"April 27, 2025",184,8641,241307,1,887,465,901,1316,887,3426,5339,5770,6763,29983,1334,2966,4785,10204,12351,53271,6133,11485,26347,55840,160291,194,0,9437,3574,30609,0,694691
"April 20, 2025",184,8938,244163,1,912,456,910,1355,921,3562,5589,5787,6907,30548,1342,3109,4850,10625,12497,55099,6424,11816,27157,62813,166242,145,0,7017,3874,31378,0,714621
"April 13, 2025",175,9031,243884,1,1275,488,899,1383,937,3633,5583,5958,6882,30919,1361,3079,4988,10778,12743,54351,6349,12367,27742,66523,153939,277,0,9638,3888,29746,0,708817
"April 6, 2025",187,9878,247132,1,1048,470,939,1407,931,3587,5601,6528,6901,31159,1341,3149,4982,10717,12830,55175,6381,12864,29085,70101,166022,217,0,6944,3959,30142,0,729678
"March 30, 2025",165,9093,245554,1,1141,462,891,1326,887,3442,5439,6282,6793,31103,1296,3065,4907,10449,12722,56052,6504,12977,29239,76698,159317,225,0,8541,4008,29772,0,728351
"March 23, 2025",181,11060,248063,1,1097,469,905,1347,915,3511,5586,5945,6974,31532,1348,3172,4994,10592,12903,56216,6528,13089,30197,83363,151900,135,0,8385,4154,26491,0,731053
"March 16, 2025",176,10894,247770,1,1319,437,904,1363,892,3507,5530,5878,6887,31000,1345,3098,5020,10739,12949,57525,6763,12897,30947,88692,167354,323,0,9522,4516,27946,0,756194
"March 9, 2025",191,13405,248486,1,1208,487,927,1385,925,3569,5661,6020,7064,31581,1388,3248,5125,10921,13310,57171,6847,13131,32329,88968,137746,330,0,8043,4547,23516,0,727530
"March 2, 2025",179,11448,251853,1,1210,467,898,1330,910,3416,5574,5922,6959,31457,1355,3205,5064,10770,13330,57985,6871,13470,33877,94422,137759,263,0,8447,4483,22665,0,735590
"February 23, 2025",185,10952,254273,1,1042,476,924,1454,955,3587,5735,6126,7171,32245,1415,3301,5137,11214,13711,58268,7038,13926,35433,106155,127802,239,0,6069,4804,21750,0,741388
"February 16, 2025",177,11143,254383,1,1083,485,930,1406,928,3601,5834,6198,7220,32436,1463,3329,5234,11610,14005,58398,7308,14366,37042,123923,139637,330,0,5492,5360,22377,0,775699
"February 9, 2025",168,10467,259865,1,1096,483,950,1440,968,3628,5905,6244,7400,32586,1468,3379,5245,11694,14140,59437,7300,15017,38694,116258,99428,238,0,6224,5278,19243,0,734244
"February 2, 2025",173,9523,260745,1,1244,504,935,1414,944,3654,5981,6167,7162,32776,1443,3385,5223,11496,14090,59049,7232,15018,40440,122450,92228,263,0,7031,5501,18587,0,734659
"January 26, 2025",173,9419,260140,1,1138,496,961,1438,958,3652,5844,6206,7248,32762,1436,3345,5241,11718,14333,59410,7336,15304,41142,131183,74521,257,0,6018,5505,16220,0,723405
"January 19, 2025",164,9492,260748,1,1122,477,909,1355,905,3449,5641,6019,7147,31970,1360,3221,5049,11319,13911,60812,7380,15359,42624,136132,63719,247,0,6476,5854,15348,0,718210
"January 12, 2025",186,11885,262222,1,1110,496,911,1368,920,3585,5700,6059,6970,32476,1394,3285,5189,11398,13817,60459,7217,15579,44977,142852,55392,277,0,6276,5989,15418,0,723408
