type,group,member_count,city,country,url
meetup,WebWorker Saar,337,Saarbrücken,DE,https://www.meetup.com/webworker-saar/
meetup,Drupal Austria,478,Vienna,AT,https://www.meetup.com/drupal-austria/
meetup,Drupal Belgium,685,Gent,BE,https://www.meetup.com/dug-be/
meetup,Drupal Nederland,677,Utrecht,NL,https://www.meetup.com/drupalnl/
meetup,Niji Rennes,911,Rennes,FR,https://www.meetup.com/niji-rennes/
meetup,Drupal Chicago,874,Chicago,US,https://www.meetup.com/drupalchicago/
meetup,Twin Cities Drupal Group,361,Minneapolis,US,https://www.meetup.com/twin-cities-drupal-group/
meetup,Drupal Israel,675,Tel Aviv-Yafo,IL,https://www.meetup.com/drupal-israel/
meetup,Vancouver Symfony User Group (VanSUG),36,Vancouver,CA,https://www.meetup.com/vancouver-symfony-user-group-vansug/
meetup,Oxford Drupal Users' Group,322,Oxford,GB,https://www.meetup.com/oxduguk/
meetup,Drupal Richmond,97,Richmond,US,https://www.meetup.com/drupal-richmond/
meetup,CMS-Garden-Stammtisch-Leipzig,265,Leipzig,DE,https://www.meetup.com/cms-garden-stammtisch-leipzig/
meetup,Drupal Cape Town,482,Cape Town,ZA,https://www.meetup.com/drupal-cape-town/
meetup,PHP Vigo Meetup,776,Vigo,ES,https://www.meetup.com/phpvigo/
meetup,Oaxaca Learning Drupal Meetup,119,Oaxaca,MX,https://www.meetup.com/oaxaca-learning-drupal-meetup-142215442ytsrrvqb/
meetup,Drupal-User-Group Rhein-Neckar,57,Heidelberg,DE,https://www.meetup.com/drupal-user-group-rhein-neckar/
meetup,Drupal South Africa,181,Cape Town,ZA,https://www.meetup.com/drupal-south-africa/
meetup,Brussels Drupal Meetup,246,Brussels,BE,https://www.meetup.com/brussels-drupal-meetup/
meetup,Drupal Show and Tell - London,791,London,GB,https://www.meetup.com/drupal-show-and-tell/
meetup,Bogotá Drupal Meetup,387,Bogotá,CO,https://www.meetup.com/bogota-drupal-meetup/
meetup,Drupal Johannesburg / Parkhurst,176,Johannesburg,ZA,https://www.meetup.com/drupal-johannesburg-parkhurst/
meetup,Digibury,568,Canterbury,GB,https://www.meetup.com/digibury/
meetup,Houston Drupal Group,32,Houston,US,https://www.meetup.com/houston-drupal-group/
meetup,Drupal Providence,405,Providence,US,https://www.meetup.com/drupalpvd/
meetup,Drupal Ecuador,327,Quito,EC,https://www.meetup.com/drupal-ecuador/
meetup,LA Web Design & Development Group,1046,Los Angeles,US,https://www.meetup.com/lawddg/
meetup,India MongoDB and NoSql Group,1630,Bangalore,IN,https://www.meetup.com/indiamongodb/
meetup,co.dug,33,Concord,US,https://www.meetup.com/co-dug/
meetup,München Drupal User Group Meetup,268,München,DE,https://www.meetup.com/munchen-drupal-user-group-meetup/
meetup,Twin Cities Drupal Group,361,Minneapolis,US,https://www.meetup.com/twin-cities-drupal-group/
meetup,Drupal Israel,675,Tel Aviv-Yafo,IL,https://www.meetup.com/drupal-israel/
meetup,Open Source Enthusiast - Goa,271,Goa Velha,IN,https://www.meetup.com/open-source-enthusiast-goa/
meetup,Seoul Drupal Meetup,11,Seoul,KR,https://www.meetup.com/seoul-drupal-meetup/
meetup,Web Design Meetup,43,Melbourne,AU,https://www.meetup.com/melbourne-web-design/
meetup,Drupal Calgary,37,Calgary,CA,https://www.meetup.com/drupal-calgary/
meetup,CMS-Garden-Stammtisch-Leipzig,265,Leipzig,DE,https://www.meetup.com/cms-garden-stammtisch-leipzig/
meetup,Drupal Cape Town,482,Cape Town,ZA,https://www.meetup.com/drupal-cape-town/
meetup,PHP Vigo Meetup,776,Vigo,ES,https://www.meetup.com/phpvigo/
meetup,Oaxaca Learning Drupal Meetup,119,Oaxaca,MX,https://www.meetup.com/oaxaca-learning-drupal-meetup-142215442ytsrrvqb/
meetup,Drupal-User-Group Rhein-Neckar,57,Heidelberg,DE,https://www.meetup.com/drupal-user-group-rhein-neckar/
meetup,Drupal South Africa,181,Cape Town,ZA,https://www.meetup.com/drupal-south-africa/
meetup,Brussels Drupal Meetup,246,Brussels,BE,https://www.meetup.com/brussels-drupal-meetup/
meetup,co.dug,33,Concord,US,https://www.meetup.com/co-dug/
meetup,Chattanooga Drupal Users Group,282,Chattanooga,US,https://www.meetup.com/chattanooga-drupal-users-group/
meetup,Austin Drupal Users Group,716,Austin,US,https://www.meetup.com/austin-drupal-users-group/
meetup,Drupal User Group Hamburg & Schleswig Holstein,235,Hamburg,DE,https://www.meetup.com/drupal-usergroup-hamburg/
meetup,Drupal Training Meetup,64,New York,US,https://www.meetup.com/nyc-drupal-training-meetup/
meetup,Nairobi Drupal Developers,51,Nairobi,KE,https://www.meetup.com/nairobi-drupal-developers/
meetup,London Canada Drupal Users Group,388,London,CA,https://www.meetup.com/londondug/
meetup,Veliko Tarnovo Drupal Meetup,31,Veliko Tarnovo,BG,https://www.meetup.com/veliko-tarnovo-drupal-meetup/
meetup,Greater Philadelphia Drupal Meetup Group,825,Philadelphia,US,https://www.meetup.com/drupalphilly/
meetup,Web Design Meetup,43,Melbourne,AU,https://www.meetup.com/melbourne-web-design/
meetup,Drupal Calgary,37,Calgary,CA,https://www.meetup.com/drupal-calgary/
meetup,Drupal Brisbane,401,Brisbane,AU,https://www.meetup.com/drupal-brisbane/
meetup,Vancouver Drupal Users Group,1043,Vancouver,CA,https://www.meetup.com/vancouver-drupal-users-group/
meetup,Srijan GeekDays,1101,Delhi,IN,https://www.meetup.com/srijan-geekdays/
meetup,LevelUp - Up your game!,95,Haarlem,NL,https://www.meetup.com/synetic-levelup/
meetup,Drupal NYC,2748,New York,US,https://www.meetup.com/drupalnyc/
meetup,Drupal Slovenia,213,Ljubljana,SI,https://www.meetup.com/drupal-slovenia/
meetup,Drupal Stockholm,260,Stockholm,SE,https://www.meetup.com/drupalstockholm/
meetup,Drupal Amsterdam,240,Amsterdam,NL,https://www.meetup.com/drupal-amsterdam/
meetup,Central Ohio Drupal Users Group,273,Columbus,US,https://www.meetup.com/central-ohio-drupal-users-group/
meetup,DCD 2014,25,Delhi,IN,https://www.meetup.com/dcd-2014/
meetup,Boston Drupal Group,499,Boston,US,https://www.meetup.com/boston-drupal-group/
meetup,Drupal Austria,478,Vienna,AT,https://www.meetup.com/drupal-austria/
meetup,Drupal Chicago,874,Chicago,US,https://www.meetup.com/drupalchicago/
meetup,Bay Area Enterprise Drupal Group,40,San Francisco,US,https://www.meetup.com/bay-area-enterprise-drupal-group/
meetup,Boston Drupal in Higher Ed Meetup Group,87,Cambridge,US,https://www.meetup.com/boston-drupal-in-higher-ed-meetup-group/
meetup,Surigao PHP Users Group (SPUG) Meetup,57,Surigao,PH,https://www.meetup.com/surigao-php-users-group-spug-meetup/
meetup,Kolkata Web Design Meetup group,1,36,IN,https://www.meetup.com/kolkata-web-design-meetup-group/
meetup,Drupal Johannesburg,795,Johannesburg,ZA,https://www.meetup.com/drupal-johannesburg/
meetup,Drupal Meetup Bangkok,215,Bangkok,TH,https://www.meetup.com/drupal-meetup-bangkok/
meetup,Meetup de Drupal en Caracas,50,Caracas,VE,https://www.meetup.com/meetup-de-drupal-en-caracas/
meetup,Cali Drupal Meetup,176,Cali,CO,https://www.meetup.com/drupal-colombia/
meetup,TLV PHP Meetup,451,Tel Aviv-Yafo,IL,https://www.meetup.com/tlv-php-meetup/
meetup,DrupalYork,45,Newmarket,CA,https://www.meetup.com/drupalyork/
meetup,Michigan Drupal Web Designer & Developer Meetup,450,Detroit,US,https://www.meetup.com/midrupal/
meetup,New Hampshire PHP,320,Manchester,US,https://www.meetup.com/nh-php/
meetup,Visakhapatnam Drupal Meetup,16,Visakhapatnam,IN,https://www.meetup.com/visakhapatnam-drupal-meetup/
meetup,Drupal Jaipur,87,Jaipur,IN,https://www.meetup.com/drupaljaipur/
meetup,DrupalOps,5,Denver,US,https://www.meetup.com/drupalops/
meetup,Drupal Goa,220,Panaji,IN,https://www.meetup.com/drupal-goa/
meetup,Drupal Durban,366,Durban,ZA,https://www.meetup.com/drupal-durban/
meetup,Drupal Singapore,1,657,SG,https://www.meetup.com/drupal-sg/
meetup,Antwerpen Drupal Meetup,55,Antwerpen,BE,https://www.meetup.com/drupal-antwerp/
meetup,Sydney Drupal Users Group,686,Sydney,AU,https://www.meetup.com/drupalsydney/
