name,type,status,approximate_start_date,users,url,notes
Bug Smash Initiative,community,ongoing,2020-01,"155601,2572884,8389,246309",https://www.drupal.org/community-initiatives/bug-smash,Focuses on reducing the number of bugs and technical debt in Drupal core.
Composer Support in Core Initiative,community,done,2018-01,"391689,116231,438598",https://www.drupal.org/community-initiatives/composer-support-in-core-initiative,Enhances Composer support to make managing dependencies in Drupal easier and more reliable.
Configuration Management in Core 2.0 Initiative,community,done,2011-08,"1344166,157725,128537,65470,27497",https://www.drupal.org/community-initiatives/configuration-management-in-core-20-initiative,Aims to improve the configuration management system for better deployment workflows.
Contribute to accessibility,community,ongoing,2009-01,"8389,155601,117834,27930,748566,265648,731798,295067,7124",https://www.drupal.org/community-initiatives/contribute-to-accessibility,"Ensures Drupal is accessible to all users, including those with disabilities."
Contribution Events Initiative,community,ongoing,2022-01,"8389, 46549, 80801, 225592, 453248, 725016, 810676, 1399638, 1495178, 1746792, 3084081, 3332522, 3622664, 3684093, 3715332",https://www.drupal.org/project/contribution_events,Supports organizing events that foster contribution and onboarding in the Drupal community.
Documentation and Help Initiative,community,ongoing,2014-01,"155601,79230,216048,3414601",https://www.drupal.org/community-initiatives/documentation-and-help-initiative,Improves official documentation and in-context help to support developers and site builders.
Drupal 7 | Soft Landing Initiative,community,ongoing,2022-01,"752364,225592,54034",https://www.drupal.org/community-initiatives/drupal-7-soft-landing-initiative,Helps users transition from Drupal 7 to newer versions with resources and guidance.
Drupal Needs Review Queue Initiative,community,ongoing,2022-01,"598310,3747965",https://www.drupal.org/community-initiatives/drupal-needs-review-queue-initiative,Reduces the backlog of community-submitted patches waiting for review.
Drupal Open Curriculum Initiative,community,stalled,2016-01,"188049,1563946",https://www.drupal.org/community-initiatives/drupal-open-curriculum-initiative,Builds a free and open curriculum to help people learn Drupal.
GitLab Acceleration Initiative,community,ongoing,2021-01,"2495842,3064,157725,54034",https://www.drupal.org/community-initiatives/gitlab-acceleration-initiative,Migrates Drupal development workflows from Drupal.org to GitLab for better collaboration.
IXP-Fellowships | Initiative for onboarding inexperienced developers,community,ongoing,2023-01,"2448054,51132",https://www.drupal.org/community-initiatives/ixp,Brings new developers into Drupal via mentoring and fellowships.
Starshot Demo Design System,community,ongoing,2024-01,"8389,3238763,2362568,3193139,3826428,3824822",https://www.drupal.org/project/demo_design_system,Creates a design system and demo content to showcase Drupal’s out-of-the-box experience.
Workflow in Core Initiative,community,done,2016-01,729614,https://www.drupal.org/community-initiatives/workflow-in-core-initiative,"Adds flexible, customizable content workflow tools directly into core."
Drupal Ladder,community,ongoing,2012-01,"250093,23,660472,65088",http://drupalladder.org/,A community-driven training program to grow Drupal contributors.
Frontend Initiative,community,ongoing,2024-01,1068770,https://github.com/darvanen/drupal-js,Modernizes the front-end stack and theming system of Drupal.
Member platform,community,ongoing,2025-01,"599892,80902",https://www.drupal.org/project/member,Explores building a unified platform for managing community memberships and profiles.
Drupal Starshot,strategic,ongoing,2024-01,"241634,1,4166,949106,1206650,3362326,118406,1431110,3714625,3831501",https://www.drupal.org/about/starshot,"Aims to deliver a new, user-friendly Drupal package with curated modules and UX improvements."
Automatic Updates,strategic,ongoing,2023-01,"240860,54034,93254,78040,3064,1463982,3685163,2303520,102818,391689,205645,49851,3688861,236758,65776",https://www.drupal.org/about/starshot/initiatives/automatic-updates,Enables secure and seamless automatic updates for Drupal sites.
Drupal Starshot UX,strategic,ongoing,2024-01,"341265,1206650,1431110,3714625,597730",https://www.drupal.org/about/starshot/ux,Focuses on improving user experience as part of the broader Starshot vision.
Experience Builder,strategic,ongoing,2025-01,"99777,3615018,1078742,241634,3546546,395439",https://www.drupal.org/about/starshot/initiatives/experience-builder,Develops a modern site-building experience for content editors and site builders.
